hash,file,mode,time,rwts,rwps
compare-1-single-core-flag,./programs/radix_sort_lam.hvmc,intr-multi,,,
compare-1-single-core-flag,./programs/radix_sort_lam.hvmc,intr-singl,,,
compare-1-single-core-flag,./programs/bitonic_sort_lam.hvmc,intr-multi,7.343 s,811597752,110.527 m
compare-1-single-core-flag,./programs/bitonic_sort_lam.hvmc,comp-multi,3.132 s,648737459,207.132 m
compare-1-single-core-flag,./programs/bitonic_sort_lam.hvmc,intr-singl,25.297 s,811597752,32.083 m
compare-1-single-core-flag,./programs/bitonic_sort_lam.hvmc,comp-singl,12.759 s,811597752,63.610 m
compare-1-single-core-flag,./programs/c2.hvmc,intr-multi,0.000 s,17,inf m
compare-1-single-core-flag,./programs/c2.hvmc,comp-multi,0.000 s,17,inf m
compare-1-single-core-flag,./programs/c2.hvmc,intr-singl,0.000 s,17,inf m
compare-1-single-core-flag,./programs/c2.hvmc,comp-singl,0.000 s,17,inf m
compare-1-single-core-flag,./programs/sum_tail.hvmc,intr-multi,2.809 s,110000008,39.160 m
compare-1-single-core-flag,./programs/sum_tail.hvmc,comp-multi,1.524 s,110000008,72.178 m
compare-1-single-core-flag,./programs/sum_tail.hvmc,intr-singl,2.545 s,110000008,43.222 m
compare-1-single-core-flag,./programs/sum_tail.hvmc,comp-singl,1.874 s,110000008,58.698 m
compare-1-single-core-flag,./programs/merge_sort.hvmc,intr-multi,,,
compare-1-single-core-flag,./programs/merge_sort.hvmc,comp-multi,2.024 s,376201592,185.870 m
compare-1-single-core-flag,./programs/merge_sort.hvmc,intr-singl,15.608 s,494927834,31.710 m
compare-1-single-core-flag,./programs/merge_sort.hvmc,comp-singl,8.966 s,494927834,55.201 m
compare-1-single-core-flag,./programs/sum_rec.hvmc,intr-multi,8.567 s,1207959540,141.001 m
compare-1-single-core-flag,./programs/sum_rec.hvmc,comp-multi,5.279 s,1207959496,228.824 m
compare-1-single-core-flag,./programs/sum_rec.hvmc,intr-singl,31.584 s,1207959540,38.246 m
compare-1-single-core-flag,./programs/sum_rec.hvmc,comp-singl,19.847 s,1207959540,60.864 m
compare-1-single-core-flag,./programs/boom.hvmc,intr-multi,,,
compare-1-single-core-flag,./programs/boom.hvmc,comp-multi,,,
compare-1-single-core-flag,./programs/boom.hvmc,intr-singl,11.704 s,268435822,22.935 m
compare-1-single-core-flag,./programs/boom.hvmc,comp-singl,11.790 s,268435822,22.768 m
compare-1-single-core-flag,./programs/sum_tree.hvmc,intr-multi,8.841 s,754974690,85.395 m
compare-1-single-core-flag,./programs/sum_tree.hvmc,comp-multi,3.935 s,754974610,191.861 m
compare-1-single-core-flag,./programs/sum_tree.hvmc,intr-singl,26.932 s,754974690,28.033 m
compare-1-single-core-flag,./programs/sum_tree.hvmc,comp-singl,16.229 s,754974690,46.520 m
compare-2-before-dup-ref,./programs/radix_sort_lam.hvmc,intr-multi,,,
compare-2-before-dup-ref,./programs/radix_sort_lam.hvmc,intr-singl,,,
compare-2-before-dup-ref,./programs/bitonic_sort_lam.hvmc,intr-multi,7.715 s,811597752,105.197 m
compare-2-before-dup-ref,./programs/bitonic_sort_lam.hvmc,comp-multi,3.471 s,811597758,233.822 m
compare-2-before-dup-ref,./programs/bitonic_sort_lam.hvmc,intr-singl,26.273 s,811597752,30.891 m
compare-2-before-dup-ref,./programs/bitonic_sort_lam.hvmc,comp-singl,10.907 s,811597752,74.411 m
compare-2-before-dup-ref,./programs/c2.hvmc,intr-multi,0.001 s,17,0.017 m
compare-2-before-dup-ref,./programs/c2.hvmc,comp-multi,0.001 s,17,0.017 m
compare-2-before-dup-ref,./programs/c2.hvmc,intr-singl,0.000 s,17,inf m
compare-2-before-dup-ref,./programs/c2.hvmc,comp-singl,0.000 s,17,inf m
compare-2-before-dup-ref,./programs/sum_tail.hvmc,intr-multi,3.207 s,110000008,34.300 m
